"","name","state","pop2000","pop2010","pop2017","pop_change","poverty","homeownership","multi_unit","unemployment_rate","metro","median_edu","per_capita_income","median_hh_income","smoking_ban"
"1","Accomack County","Virginia",38305,33164,32545,-1.27,19.8,74.1,5.6,4.82,"no","hs_diploma",24801.7,42260,"none"
"2","Albemarle County","Virginia",79236,98970,107702,5.23,9.8,65.4,23.7,3.31,"yes","bachelors",41397.54,72265,"none"
"3","Alleghany County","Virginia",12926,16250,15122,-4.99,19.3,82.7,7.5,4.87,"no","hs_diploma",26215.38,46020,"none"
"4","Amelia County","Virginia",11400,12690,13020,2.85,13,83.2,2.5,4,"yes","hs_diploma",25242.38,58535,"none"
"5","Amherst County","Virginia",31894,32353,31594,-1.75,13.4,75.4,9.3,4.18,"yes","hs_diploma",24066.01,49677,"none"
"6","Appomattox County","Virginia",13705,14973,15681,2.38,14.4,76,4.7,4.46,"yes","hs_diploma",25632.05,54875,"none"
"7","Arlington County","Virginia",189453,207627,234965,4.14,8.2,47,61.3,2.49,"yes","bachelors",65871.95,112138,"none"
"8","Augusta County","Virginia",65615,73750,75144,1.76,8.8,81.3,7.1,3.44,"yes","hs_diploma",30940.24,59544,"none"
"9","Bath County","Virginia",5048,4731,4297,-6.34,9.3,87,0.9,3.3,"no","hs_diploma",27525.21,44483,"none"
"10","Bedford County","Virginia",60371,68676,77974,2.33,8.9,84.5,3.8,3.92,"yes","some_college",30487.1,59405,"none"
"11","Bland County","Virginia",6871,6824,6350,-4.87,8.3,84.8,2,4.43,"no","hs_diploma",26207.14,46927,"none"
"12","Botetourt County","Virginia",30496,33148,33192,0.61,7.7,87.2,4.4,3.58,"yes","some_college",34140.32,64733,"none"
"13","Brunswick County","Virginia",18419,17434,16244,-2.5,20.9,70,3.2,5.49,"no","hs_diploma",21901.69,40871,"none"
"14","Buchanan County","Virginia",26978,24098,21514,-8.9,26.5,79.5,1.8,7.61,"no","hs_diploma",18561.25,30828,"none"
"15","Buckingham County","Virginia",15623,17146,17065,-0.53,16.6,74.7,4.4,5.4,"yes","hs_diploma",21010.98,46610,"none"
"16","Campbell County","Virginia",51078,54842,55010,-0.14,11.7,75.7,10.5,4.2,"yes","some_college",25969.42,48823,"none"
"17","Caroline County","Virginia",22121,28545,30461,4.1,11.9,82.9,2.4,4.31,"yes","hs_diploma",28657.2,60925,NA
"18","Carroll County","Virginia",29245,30042,29708,-0.67,14.6,76.2,3.5,4.65,"no","hs_diploma",22786.08,41145,"none"
"19","Charles City County","Virginia",6926,7256,7004,-0.95,13.2,85,1.9,4.8,"yes","hs_diploma",31980.58,55069,"none"
"20","Charlotte County","Virginia",12472,12586,12119,-1.29,22.7,77.9,4.1,4.74,"no","hs_diploma",18229.21,38350,"none"
"21","Chesterfield County","Virginia",259903,316236,343599,4.79,7.2,78.4,14.1,3.63,"yes","some_college",34796.35,76969,"none"
"22","Clarke County","Virginia",12652,14034,14508,1.81,10.4,75.8,9.3,3.43,"yes","some_college",37555.12,72129,"none"
"23","Craig County","Virginia",5091,5190,5062,-1.48,9.3,85.7,1.8,4.37,"yes","hs_diploma",27474.77,53526,"none"
"24","Culpeper County","Virginia",34262,46689,51282,5.49,8.9,72.6,10.3,3.62,"yes","some_college",30243.21,69693,"none"
"25","Cumberland County","Virginia",9017,10052,9811,-0.35,21.8,77.8,5.5,4.23,"no","hs_diploma",23177.24,43020,"none"
"26","Dickenson County","Virginia",16395,15903,14782,-4.82,23,80.6,5.1,7.33,"no","hs_diploma",20773.97,29916,"none"
"27","Dinwiddie County","Virginia",24533,28001,28208,0.49,14.8,75.8,3.1,4.5,"yes","hs_diploma",25296.97,54640,"none"
"28","Essex County","Virginia",9989,11151,11028,-1.13,12.3,74.8,8.4,5.01,"no","hs_diploma",25550.82,50629,"partial"
"29","Fairfax County","Virginia",969749,1081726,1148433,1.14,6.1,71.9,27.1,3.04,"yes","bachelors",51812.15,117515,"none"
"30","Fauquier County","Virginia",55139,65203,69465,3.41,6.2,78.8,7,3.28,"yes","some_college",41969.37,94775,"none"
"31","Floyd County","Virginia",13874,15279,15755,1.76,12,78.5,3.6,3.69,"yes","some_college",24895.85,48396,NA
"32","Fluvanna County","Virginia",20047,25691,26452,2.42,6.1,87.2,2,3.05,"yes","some_college",33196.46,67964,"none"
"33","Franklin County","Virginia",47286,56159,56445,0.29,14.8,78.5,7.8,3.97,"yes","some_college",27609.75,51208,"partial"
"34","Frederick County","Virginia",59209,78305,86484,6.11,5.6,78.8,6.3,3.19,"yes","some_college",31933.95,71037,NA
"35","Giles County","Virginia",16657,17286,16837,-0.88,11.3,77.8,6.2,4.72,"yes","hs_diploma",24883.47,49734,"none"
"36","Gloucester County","Virginia",34780,36858,37292,1.43,8.7,82.4,5.1,3.36,"yes","some_college",31953.01,63881,NA
"37","Goochland County","Virginia",16863,21717,22685,5.17,5.3,91.2,0.9,3.49,"yes","some_college",50060.63,86652,"none"
"38","Grayson County","Virginia",17917,15533,15665,3.53,20.2,81.3,2.4,4.31,"no","hs_diploma",20332.44,32048,"none"
"39","Greene County","Virginia",15244,18403,19612,4.09,9.4,79.8,2.9,3.05,"yes","some_college",30445.63,62952,NA
"40","Greensville County","Virginia",11560,12243,11679,0.73,17,74.6,2.7,4.58,"no","hs_diploma",21245.06,42121,"none"
"41","Halifax County","Virginia",37355,36241,34563,-2.28,18.7,75.9,5.5,5.24,"no","hs_diploma",20893,39233,"none"
"42","Hanover County","Virginia",86320,99863,105923,4.81,5.8,83.9,8.2,3.34,"yes","some_college",38140.38,84955,"none"
"43","Henrico County","Virginia",262300,306935,327898,2.73,10.4,66.9,28.3,3.66,"yes","some_college",35465.1,66447,"none"
"44","Henry County","Virginia",57930,54151,51227,-2.91,19.2,75.9,8.4,4.97,"no","hs_diploma",21331.17,36779,"none"
"45","Highland County","Virginia",2536,2321,2212,0.32,10.6,76.6,2.1,3.46,"no","hs_diploma",33538.95,45094,NA
"46","Isle of Wight County","Virginia",29728,35270,36552,2.88,10.3,81.1,7.2,3.9,"yes","some_college",32769.17,67767,"none"
"47","James City County","Virginia",48102,67009,75524,6.93,7.5,76.5,16.9,3.6,"yes","some_college",41304.35,80772,"none"
"48","King and Queen County","Virginia",6630,6945,7003,-0.33,15.6,80.4,0,3.61,"no","hs_diploma",25071.31,51495,"none"
"49","King George County","Virginia",16803,23584,26337,5.75,5.7,76.4,10,3.96,"no","some_college",35311.66,84770,"none"
"50","King William County","Virginia",13146,15935,16708,3.81,10.9,85.4,4.7,3.48,"yes","some_college",30416.04,67423,"none"
"51","Lancaster County","Virginia",11567,11391,10788,-1.62,11,77.1,4.8,5.49,"no","some_college",33581.04,51495,"partial"
"52","Lee County","Virginia",23589,25587,23758,-5.23,26.2,73.8,6,5.54,"no","hs_diploma",18818.22,32590,"none"
"53","Loudoun County","Virginia",169599,312311,398080,13.46,3.7,80.8,16.2,3.04,"yes","bachelors",49456.68,129588,"none"
"54","Louisa County","Virginia",25627,33153,35860,5.49,11.8,78.2,3.8,3.49,"no","hs_diploma",29279.46,56946,"none"
"55","Lunenburg County","Virginia",13146,12914,12235,-2.36,18.6,74.4,2.2,4.37,"no","hs_diploma",19397.25,39537,"none"
"56","Madison County","Virginia",12520,13308,13277,1.41,9.8,81,1.9,2.95,"no","some_college",29738.49,52287,NA
"57","Mathews County","Virginia",9207,8978,8779,-1.35,10.6,83,2.4,3.79,"yes","some_college",34865.52,63622,"none"
"58","Mecklenburg County","Virginia",32380,32727,30686,-1.8,16.9,75.1,4.4,5.25,"no","hs_diploma",21792.91,41126,"none"
"59","Middlesex County","Virginia",9932,10959,10679,-0.9,10.2,81.1,3.1,3.41,"no","some_college",29729.39,50483,"none"
"60","Montgomery County","Virginia",83629,94392,98559,1.9,23.8,56.4,27.6,3.83,"yes","some_college",29812.85,53424,"none"
"61","Nelson County","Virginia",14445,15020,14943,0.95,14.9,77.8,11.8,3.49,"yes","some_college",32600.44,53834,"none"
"62","New Kent County","Virginia",13462,18429,21682,11.14,5.1,90.1,0.3,3.22,"yes","some_college",36946.97,78429,"none"
"63","Northampton County","Virginia",13093,12389,11846,-1.48,20.3,71.1,5.5,5.85,"no","hs_diploma",25335.84,41468,"none"
"64","Northumberland County","Virginia",12259,12330,12275,-0.19,13.5,84.3,2.2,5.44,"no","some_college",34346.23,56677,"none"
"65","Nottoway County","Virginia",15725,15853,15434,-1.25,21.5,64.3,5.4,3.97,"no","hs_diploma",21054.1,38410,"none"
"66","Orange County","Virginia",25881,33481,36073,4.18,8.9,78.4,5.8,3.85,"no","some_college",29619.77,67196,"none"
"67","Page County","Virginia",23177,24042,23731,0.04,17,75.6,6.2,5.3,"no","hs_diploma",23660.89,46140,"none"
"68","Patrick County","Virginia",19407,18490,17665,-3.17,20.2,81.3,4.2,4.51,"no","hs_diploma",21613.1,37757,"none"
"69","Pittsylvania County","Virginia",61745,63506,61258,-2.08,14.7,79.4,4.1,4.54,"no","hs_diploma",24305.26,44356,"none"
"70","Powhatan County","Virginia",22377,28046,28601,1.09,5.5,89.6,1.1,3.35,"yes","some_college",36705.81,80441,"none"
"71","Prince Edward County","Virginia",19720,23368,22703,-0.07,21.4,63.4,16.6,4.99,"no","hs_diploma",23461.51,44147,"none"
"72","Prince George County","Virginia",33047,35725,37809,1.27,12.3,75.4,9.1,4.44,"yes","some_college",28085.23,68461,"none"
"73","Prince William County","Virginia",280813,402002,463023,5.56,7,74.8,16.2,3.4,"yes","some_college",36990.97,101059,"none"
"74","Pulaski County","Virginia",35127,34872,34184,-1.04,13.9,73.1,12.6,5.35,"yes","some_college",26845.18,49691,"none"
"75","Rappahannock County","Virginia",6983,7373,7321,-1.39,8.9,72.5,0.9,3.47,"yes","some_college",37772.65,62541,"none"
"76","Richmond County","Virginia",8809,9254,8939,-0.19,17.4,79.9,6.3,3.78,"no","hs_diploma",24778.18,47341,NA
"77","Roanoke County","Virginia",85778,92376,93730,0.42,8,77.7,18.3,3.45,"yes","some_college",34043.46,62134,"none"
"78","Rockbridge County","Virginia",20808,22307,22659,1.49,15.6,76.4,5,4.09,"no","some_college",30253.09,53918,"none"
"79","Rockingham County","Virginia",67725,76314,80227,3.63,10.2,74.7,9.7,3.27,"yes","hs_diploma",29351.59,57651,"none"
"80","Russell County","Virginia",30308,28897,27048,-4.45,17.6,77,5.7,5.51,"no","hs_diploma",20942.04,40083,"none"
"81","Scott County","Virginia",23403,23177,21865,-3.99,17.7,77,4.8,4.09,"yes","hs_diploma",20963.33,38725,"none"
"82","Shenandoah County","Virginia",35075,41993,43225,1.68,10.3,69.5,14.1,3.54,"no","hs_diploma",26609.35,53934,"none"
"83","Smyth County","Virginia",33081,32208,30656,-3.52,17.4,72.9,8.5,5.38,"no","hs_diploma",21934.73,40544,"none"
"84","Southampton County","Virginia",17482,18570,17750,-3.15,11.7,76.2,2.9,3.76,"no","some_college",26906.83,53681,"none"
"85","Spotsylvania County","Virginia",90395,122397,133033,4.38,8,79.9,6.4,3.73,"yes","some_college",32784,81434,"none"
"86","Stafford County","Virginia",92446,128961,146649,7.85,4.7,78.4,9.4,3.62,"yes","some_college",39036.18,103005,"none"
"87","Surry County","Virginia",6829,7058,6540,-3.65,13.6,74.2,4.4,4.53,"no","some_college",26794.61,54656,"none"
"88","Sussex County","Virginia",12504,12087,11373,-3.32,17.8,67,7.3,5.95,"yes","hs_diploma",26406.83,44608,NA
"89","Tazewell County","Virginia",44598,45078,41095,-6.66,15.6,73.4,8,5.92,"no","hs_diploma",24660.08,40309,"none"
"90","Warren County","Virginia",31584,37575,39563,2.83,9.8,74.8,11.8,3.71,"yes","some_college",29506.69,65353,"none"
"91","Washington County","Virginia",51103,54876,54387,-0.71,14.6,74.2,11.6,4.1,"yes","some_college",25572.88,44844,"none"
"92","Westmoreland County","Virginia",16718,17454,17780,1.33,9.5,76.1,3.4,4.7,"no","some_college",31900,55688,"partial"
"93","Wise County","Virginia",40123,41452,38586,-5.08,19.9,69.7,8.4,6.78,"no","hs_diploma",22083.47,38255,"none"
"94","Wythe County","Virginia",27599,29235,28882,-1.33,15.2,77,7.2,5.21,"no","hs_diploma",24520.66,46119,"none"
"95","York County","Virginia",56297,65464,67739,2.51,5.2,78.6,16.7,3.56,"yes","some_college",37912.87,86781,"none"
"96","Alexandria city","Virginia",128283,139966,160035,6.5,10.5,45.7,62.9,2.87,"yes","bachelors",55309.87,93370,"none"
"97","Bristol city","Virginia",17367,17835,16790,-3.49,21.3,61.8,26.7,4.56,"yes","some_college",21893.78,37844,"none"
"98","Buena Vista city","Virginia",6349,6650,6327,-5.04,20.8,64.8,14.7,4.37,"no","hs_diploma",19881.82,33672,"none"
"99","Charlottesville city","Virginia",45049,43475,48019,6.52,24.5,41.3,43.2,3.09,"yes","bachelors",33503.36,54739,"none"
"100","Chesapeake city","Virginia",199184,222209,240397,4.33,9.6,74.9,16.8,3.87,"yes","some_college",32037.32,72214,"none"
"101","Colonial Heights city","Virginia",16897,17411,17830,1.96,13.2,65.8,20.4,4.08,"yes","some_college",27028.57,50952,"none"
"102","Covington city","Virginia",6303,5961,5531,-5.16,19.9,68.7,10.2,6.26,"no","hs_diploma",21292.27,35546,"none"
"103","Danville city","Virginia",48411,43055,41130,-3.52,21.5,54.6,24.1,6.01,"no","some_college",22908.26,34951,"none"
"104","Emporia city","Virginia",5665,5927,5282,-7.19,30.9,48.4,23.4,5.49,"no","hs_diploma",18567.34,27426,NA
"105","Fairfax city","Virginia",21498,22565,24097,3.55,7.8,72.1,24.7,2.92,"yes","bachelors",47602.59,106870,"none"
"106","Falls Church city","Virginia",10377,12332,14583,8.7,2.9,63.9,39.4,2.68,"yes","bachelors",64175.38,114795,"none"
"107","Franklin city","Virginia",8346,8582,8176,-4.27,16.6,46.3,31.2,5.54,"no","some_college",24816.53,38760,"none"
"108","Fredericksburg city","Virginia",19279,24286,28360,1.89,16.3,39,46.3,4.35,"yes","some_college",33135.25,57258,"none"
"109","Galax city","Virginia",6837,7042,6625,-4.48,21.2,63.3,19.4,4.52,"no","hs_diploma",22661.33,31311,"none"
"110","Hampton city","Virginia",146437,137436,134669,-1.92,14.9,59.3,28.3,5.09,"yes","some_college",26672.36,52021,"none"
"111","Harrisonburg city","Virginia",40468,48914,54215,5,29,38.6,44.2,4.47,"yes","some_college",21203.32,43009,"none"
"112","Hopewell city","Virginia",22354,22591,22621,2.01,21.2,51.7,24.5,6.09,"yes","hs_diploma",22659.09,40712,"none"
"113","Lexington city","Virginia",6867,7042,7106,-0.48,21.4,51.2,29.8,5.65,"no","some_college",29229.73,37309,"none"
"114","Lynchburg city","Virginia",65269,75568,80995,3.84,22.3,56.3,29.8,4.96,"yes","some_college",24170.78,41971,"none"
"115","Manassas city","Virginia",35135,37821,41501,0.77,8.8,68.2,23.5,3.4,"yes","some_college",28058.36,77551,"none"
"116","Manassas Park city","Virginia",10290,14273,16591,4.04,10.3,71.2,16.6,3.35,"yes","some_college",27342.43,79131,NA
"117","Martinsville city","Virginia",15416,13821,13142,-2.03,24,59.4,24.8,6.8,"no","some_college",23367.86,33545,"none"
"118","Newport News city","Virginia",180150,180719,179388,-1.09,16.4,52.1,36.4,4.65,"yes","some_college",25723.11,51082,"none"
"119","Norfolk city","Virginia",234403,242803,244703,-0.37,21,46.6,42.9,4.65,"yes","some_college",25911.51,47137,"none"
"120","Norton city","Virginia",3904,3958,3936,-4.26,25.7,54,30.8,5.53,"no","some_college",18544.84,26971,"none"
"121","Petersburg city","Virginia",33740,32420,31750,-1.74,27.6,50.8,34,7.3,"yes","hs_diploma",21049.15,33939,"none"
"122","Poquoson city","Virginia",11566,12150,12053,-0.31,4.9,84.8,6.1,3.49,"yes","some_college",38781.61,88328,"none"
"123","Portsmouth city","Virginia",100565,95535,94572,-1.56,17.7,61.5,28.5,5.43,"yes","some_college",23405.16,48727,"none"
"124","Radford city","Virginia",15859,16408,17658,3.12,37.5,51.6,37.1,5.05,"yes","some_college",20520.69,36082,"none"
"125","Richmond city","Virginia",197790,204214,227032,6.08,25.2,44.9,43.8,4.36,"yes","some_college",29061.7,42356,"none"
"126","Roanoke city","Virginia",94911,97032,99837,0.91,21.6,56,34,4.22,"yes","some_college",24337.39,41483,"none"
"127","Salem city","Virginia",24747,24802,25862,2.18,8.9,68.8,22.4,3.83,"yes","some_college",31543.29,53990,"none"
"128","Staunton city","Virginia",23853,23746,24528,1.74,13.3,60.4,27.9,3.65,"yes","some_college",28418.26,46435,"none"
"129","Suffolk city","Virginia",63677,84585,90237,5.21,11.2,75.1,14.4,4.16,"yes","some_college",30838.15,68089,"none"
"130","Virginia Beach city","Virginia",425257,437994,450435,0.49,8,66.5,22.4,3.6,"yes","some_college",34170.99,70500,"none"
"131","Waynesboro city","Virginia",19520,21006,22327,5.41,17.4,58.7,27.2,4.08,"yes","some_college",23237.45,42112,"none"
"132","Williamsburg city","Virginia",11998,14068,15031,2.83,21.5,49.5,36.3,5.28,"yes","bachelors",35027.07,54606,"none"
"133","Winchester city","Virginia",23585,26203,27932,2.17,12.5,50.6,29.3,3.62,"yes","some_college",28576.19,49330,"none"
